link,title,date,datetime,author,author_link,caption,image
https://techcrunch.com/2018/10/17/next-10-ventures-is-launching-an-incubator-for-youtube-personalities/,Next 10 Ventures is launching an incubator for YouTube personalities,"Oct 17, 2018",2018-10-17T10:56:03+00:00,Kate Clark,https://techcrunch.com/author/kate-clark/,"The EduCreator Incubator will seed 25 to 40 ""emerging video creators"" with $25,000 to $75,000 in seed funding.",https://techcrunch.com/wp-content/uploads/2018/10/GettyImages-1036149310.jpg?w=300&h=160&crop=1
https://techcrunch.com/2018/10/17/open-offices-have-driven-panasonic-to-make-horse-blinders-for-humans/,Open offices have driven Panasonic to make horse blinders for humans,"Oct 17, 2018",2018-10-17T10:36:39+00:00,Brian Heater,https://techcrunch.com/author/brian-heater/,"At what point do we just give up and admit we’re living in exactly the dystopian nightmare speculative fiction warned us about? It probably ought to be these horse blinders for people, which look li",https://techcrunch.com/wp-content/uploads/2018/10/panasonic-blinkers-technology-design_dezeen_2364_hero-1-1704x959.jpg?w=300&h=160&crop=1
https://techcrunch.com/2018/10/17/health-insurance-startup-alan-covers-meditation-app-subscription/,Health insurance startup Alan covers meditation app subscription,"Oct 17, 2018",2018-10-17T10:14:11+00:00,Romain Dillet,https://techcrunch.com/author/romain-dillet/,French startup Alan wants to be a bit better than your good old health insurance. That’s why the company is trying something new and now covers part of your Petit Bambou subscription. Petit Bambou i,https://techcrunch.com/wp-content/uploads/2017/01/161839795.jpg?w=300&h=160&crop=1
https://techcrunch.com/2018/10/17/stripe-hires-niels-provos-away-from-google-to-be-its-new-head-of-security/,Stripe hires Niels Provos away from Google to be its new head of security,"Oct 17, 2018",2018-10-17T10:03:05+00:00,Ingrid Lunden,https://techcrunch.com/author/ingrid-lunden/,"On the heels of raising new funding on a $20 billion valuation, payments and financial services startup Stripe is making a key hire to reinforce its message to the world that it’s taking securit",https://techcrunch.com/wp-content/uploads/2018/10/Niels-w-sword.png?w=300&h=160&crop=1
https://techcrunch.com/2018/10/17/skully-ar-motorcycle-helmlet-returns-from-the-dead-under-new-ownership/,Skully AR motorcycle helmet returns from the dead under new ownership,"Oct 17, 2018",2018-10-17T10:01:20+00:00,Megan Rose Dickey,https://techcrunch.com/author/megan-rose-dickey/,"It’s been a long, bumpy road for the Skully augmented reality motorcycle helmet brand. But under the leadership of Ivan Contreras, who acquired the assets of Skully in 2017, the helmet is final",https://techcrunch.com/wp-content/uploads/2018/10/IMG_1868-e1539638804107.jpg?w=300&h=160&crop=1
https://techcrunch.com/2018/10/17/twilio-launches-autopilot-to-help-developers-build-better-bots/,Twilio launches Autopilot to help developers build better bots,"Oct 17, 2018",2018-10-17T10:00:41+00:00,Frederic Lardinois,https://techcrunch.com/author/frederic-lardinois/,"Bots went through the hype cycle faster than a speeding roller coaster, as the promise of chatting with a computer quickly turned sour. Now, Twilio wants to take another stab at this market with the l",https://techcrunch.com/wp-content/uploads/2016/07/gettyimages-542439042.jpg?w=300&h=160&crop=1
https://techcrunch.com/2018/10/17/twilio-makes-it-easier-to-take-payments-over-the-phone/,Twilio makes it easier to take payments over the phone,"Oct 17, 2018",2018-10-17T10:00:39+00:00,Frederic Lardinois,https://techcrunch.com/author/frederic-lardinois/,"Making a payment over the phone, maybe because you are trying to change an airline ticket or to pay a last-minute bill, still feels like an antiquated process. You read your credit card number to an a",https://techcrunch.com/wp-content/uploads/2018/10/GettyImages-1053578508.jpg?w=300&h=160&crop=1
https://techcrunch.com/2018/10/17/new-york-on-tech-is-helping-under-resourced-students-become-future-tech-leaders/,New York on Tech is helping under-resourced students become future tech leaders,"Oct 17, 2018",2018-10-17T10:00:30+00:00,Arman Tabatabai,https://techcrunch.com/author/arman-tabatabai/,"Jessica Santana and Evin Robinson were riding the subway home from a college leadership conference when they realized they were getting off at the same stop.  It turned out, they had grown up in the",https://techcrunch.com/wp-content/uploads/2016/12/gettyimages-517687348.png?w=300&h=160&crop=1
https://techcrunch.com/2018/10/17/omni-xrp/,"After raising $25M in XRP, Omni lets you earn it renting stuff out","Oct 17, 2018",2018-10-17T09:50:19+00:00,Josh Constine,https://techcrunch.com/author/josh-constine/,"“I think any company scaling today has to have a crypto strategy. This is the start of ours,” Omni founder and CEO Tom McLeod tells me. His on-demand property storage and rental marketplac",https://techcrunch.com/wp-content/uploads/2018/01/omni.png?w=300&h=160&crop=1
https://techcrunch.com/2018/10/17/n26-faces-criticism-regarding-its-identification-processes/,N26 faces criticism regarding its identification processes,"Oct 17, 2018",2018-10-17T09:48:32+00:00,Romain Dillet,https://techcrunch.com/author/romain-dillet/,"Fintech startup N26 is growing quite rapidly. Building a startup is hard, but building a startup that manages your bank account is even harder given the increased scrutiny. German weekly magazine Wirt",https://techcrunch.com/wp-content/uploads/2017/12/in-conversation-with-tom-blomfield-monzo-valentin-stalf-n26-and-nikolay-storonsky-revolut0264.jpg?w=300&h=160&crop=1
